# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,
# Mon Aug 26 11:19:54 2024,,,,,,,,,,,,
id,name,host,numStars,numPlanets,discoveryMethod,discYear,discFacility,controv_flag,mass,temperatureStar,metalRatio,releasedate
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,31.782.841,-1,*,2024-05-07
46,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,63.566.000,-1,*,2016-02-25
47,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,31.800.000,2825.00,*,2014-05-14
48,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,1.589.142,29564.00,*,2022-04-19
49,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,3.178.300,-1,*,2015-06-04
50,2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,31.782.841,-1,*,2024-05-07
51,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,47.674.500,4045.00,*,2016-11-10
52,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,29.875.000,6300.00,[Fe/H],2014-05-14
53,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,28.604.700,-1,*,2015-12-03
54,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,57.209.400,6331.00,[Fe/H],2018-09-06
55,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,6.324.785,4415.00,[Fe/H],2023-09-19
56,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,50.850.000,4415.00,[Fe/H],2014-05-14
57,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,27.014.000,4200.00,[Fe/H],2014-05-14
58,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,3.178.300,5882.00,[Fe/H],2016-01-28
59,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,2.225.000,5872.00,[M/H],2014-05-14
60,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,3.178.000,-1,*,2014-08-21
61,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,4.132.000,-1,*,2014-09-18
62,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,2.701.541,5829.16,[Fe/H],2021-09-20
63,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2.097.600,5872.00,[M/H],2014-05-14
64,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,6.992.000,-1,*,2014-09-18
65,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,1.017.051,5829.16,[Fe/H],2021-09-20
66,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,9.217.000,5872.00,[M/H],2014-05-14
67,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,6.992.225,5829.16,[Fe/H],2021-09-20
68,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,-1,7295.00,*,2015-12-03
69,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,-1,7295.00,*,2019-07-11
70,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,-1,-1,[M/H],2015-08-14
71,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,222.500,-1,*,2014-08-21
72,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,635.660,5773.00,[M/H],2016-11-03
73,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,444.960,5760.76,[Fe/H],2022-05-09
74,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,1.906.980,-1,*,2015-08-27
75,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,1.239.500,5758.00,[M/H],2014-05-14
76,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,222.500,5250.00,[M/H],2014-05-16
77,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,3.814.000,5250.00,[M/H],2014-08-21
78,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,2.224.810,-1,[Fe/H],2016-10-06
79,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,2.860.470,-1,*,2016-10-13
80,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,636.000,-1,*,2014-08-21
81,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,826.354,5317.89,[Fe/H],2022-05-09
82,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,4.163.400,5250.00,[M/H],2014-08-21
83,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,290.000,5172.00,[Fe/H],2021-02-11
84,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,104.880,-1,*,2014-10-29
85,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,-1,5200.00,[Fe/H],2016-11-10
86,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,-1,-1,*,2015-02-12
87,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,381.400,5250.00,[M/H],2014-05-14
88,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,130.000,5172.00,[Fe/H],2021-02-11
89,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,874.000,5250.00,[M/H],2014-08-21
90,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,826.300,5250.00,[M/H],2014-08-21
